,roc_auc,mcc,recall,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/nb_epoch,config/graph_conv_layers,config/dense_layer_size,config/dropout,logdir
21,0.9154445339779748,0.6595463775055804,0.8538812785388128,True,1,f2b99_00021,2024-06-17_11-13-54,1718637234,0.4960899353027344,0.4960899353027344,157211,HPGD,172.27.21.110,0.4960899353027344,1,50,"[128, 128]",128,0.1,f2b99_00021
22,0.9159817351598174,0.6665885331527449,0.8812785388127854,True,1,f2b99_00022,2024-06-17_11-14-19,1718637259,0.49796438217163086,0.49796438217163086,157827,HPGD,172.27.21.110,0.49796438217163086,1,50,"[128, 128]",256,0.1,f2b99_00022
23,0.9108917539618587,0.6372064964051984,0.863013698630137,True,1,f2b99_00023,2024-06-17_11-14-43,1718637283,0.5018141269683838,0.5018141269683838,158439,HPGD,172.27.21.110,0.5018141269683838,1,50,"[128, 128]",512,0.1,f2b99_00023
24,0.9192049422508729,0.6558568370577329,0.9041095890410958,True,4,f2b99_00024,2024-06-17_11-15-07,1718637307,0.03962206840515137,0.6138384342193604,159045,HPGD,172.27.21.110,0.6138384342193604,4,50,"[128, 128]",128,0.2,f2b99_00024
25,0.907655116841257,0.6367637719887556,0.8904109589041096,True,1,f2b99_00025,2024-06-17_11-15-32,1718637332,0.4991886615753174,0.4991886615753174,159669,HPGD,172.27.21.110,0.4991886615753174,1,50,"[128, 128]",256,0.2,f2b99_00025
26,0.9038409884501746,0.6463385643546834,0.863013698630137,True,1,f2b99_00026,2024-06-17_11-15-55,1718637355,0.4950752258300781,0.4950752258300781,160276,HPGD,172.27.21.110,0.4950752258300781,1,50,"[128, 128]",512,0.2,f2b99_00026
27,0.9152699435938758,0.7134652473783187,0.8447488584474886,True,1,f2b99_00027,2024-06-17_11-16-25,1718637385,0.4959747791290283,0.4959747791290283,160879,HPGD,172.27.21.110,0.4959747791290283,1,70,"[32, 32]",128,0.0,f2b99_00027
28,0.9155721192586623,0.6793482290535093,0.7899543378995434,True,1,f2b99_00028,2024-06-17_11-16-55,1718637415,0.5047693252563477,0.5047693252563477,161601,HPGD,172.27.21.110,0.5047693252563477,1,70,"[32, 32]",256,0.0,f2b99_00028
29,0.9061811710985764,0.6506272432462129,0.7853881278538812,True,1,f2b99_00029,2024-06-17_11-17-25,1718637445,0.4921536445617676,0.4921536445617676,162332,HPGD,172.27.21.110,0.4921536445617676,1,70,"[32, 32]",512,0.0,f2b99_00029
30,0.9085817888799356,0.6412102340040036,0.8767123287671232,True,1,f2b99_00030,2024-06-17_11-17-56,1718637476,0.48470592498779297,0.48470592498779297,163102,HPGD,172.27.21.110,0.48470592498779297,1,70,"[32, 32]",128,0.1,f2b99_00030
31,0.9128928283642224,0.640240674340888,0.863013698630137,True,1,f2b99_00031,2024-06-17_11-18-26,1718637506,0.4810304641723633,0.4810304641723633,163844,HPGD,172.27.21.110,0.4810304641723633,1,70,"[32, 32]",256,0.1,f2b99_00031
32,0.9108279613215149,0.6118786721305726,0.8767123287671232,True,1,f2b99_00032,2024-06-17_11-18-56,1718637536,0.5163042545318604,0.5163042545318604,164568,HPGD,172.27.21.110,0.5163042545318604,1,70,"[32, 32]",512,0.1,f2b99_00032
33,0.9084071984958367,0.5721471545947806,0.9315068493150684,True,1,f2b99_00033,2024-06-17_11-19-26,1718637566,0.5595202445983887,0.5595202445983887,165296,HPGD,172.27.21.110,0.5595202445983887,1,70,"[32, 32]",128,0.2,f2b99_00033
34,0.9224281493419284,0.6072803848434353,0.9223744292237442,True,16,f2b99_00034,2024-06-17_11-19-56,1718637596,0.04371142387390137,1.1519742012023926,166064,HPGD,172.27.21.110,1.1519742012023926,16,70,"[32, 32]",256,0.2,f2b99_00034
35,0.9074670964276121,0.5933831098452013,0.9269406392694064,True,1,f2b99_00035,2024-06-17_11-20-26,1718637626,0.49167919158935547,0.49167919158935547,166869,HPGD,172.27.21.110,0.49167919158935547,1,70,"[32, 32]",512,0.2,f2b99_00035
36,0.9119392962664518,0.6925077869560392,0.8401826484018264,True,1,f2b99_00036,2024-06-17_11-20-55,1718637655,0.4955635070800781,0.4955635070800781,167591,HPGD,172.27.21.110,0.4955635070800781,1,70,"[64, 64]",128,0.0,f2b99_00036
